cycle,t_wake_us,wake_latency_us,period_us,bus_us,rc
0,125.561,125.561,0.000,1022.512,0
1,10078.529,78.529,9952.968,944.531,0
2,20077.218,77.218,9998.689,940.549,0
3,30078.963,78.963,10001.745,936.845,0
4,40078.005,78.005,9999.042,1135.252,0
5,50078.731,78.731,10000.726,953.456,0
6,60077.106,77.106,9998.375,944.753,0
7,70077.647,77.647,10000.541,943.104,0
8,80071.318,71.318,9993.671,950.975,0
9,90078.267,78.267,10006.949,944.474,0
10,100077.419,77.419,9999.152,935.290,0
11,110074.165,74.165,9996.746,938.179,0
12,120080.447,80.447,10006.282,950.919,0
13,130074.858,74.858,9994.411,957.549,0
14,140077.289,77.289,10002.431,936.012,0
15,150077.293,77.293,10000.004,939.790,0
16,160073.779,73.779,9996.486,942.864,0
17,170077.690,77.690,10003.911,943.790,0
18,180080.435,80.435,10002.745,940.493,0
19,190072.792,72.792,9992.357,945.845,0
20,200073.259,73.259,10000.467,942.419,0
21,210071.263,71.263,9998.004,942.660,0
22,220073.675,73.675,10002.412,942.753,0
23,230069.883,69.883,9996.208,920.568,0
24,240070.572,70.572,10000.689,923.326,0
25,250073.447,73.447,10002.875,951.049,0
26,260073.803,73.803,10000.356,935.030,0
27,270097.474,97.474,10023.671,933.309,0
28,280074.775,74.775,9977.301,948.771,0
29,290076.853,76.853,10002.078,933.864,0
30,300073.802,73.802,9996.949,941.012,0
31,310073.251,73.251,9999.449,934.697,0
32,320073.996,73.996,10000.745,934.086,0
33,330073.148,73.148,9999.152,934.679,0
34,340070.801,70.801,9997.653,942.068,0
35,350071.175,71.175,10000.374,941.234,0
36,360074.383,74.383,10003.208,945.863,0
37,370073.369,73.369,9998.986,949.753,0
38,380073.781,73.781,10000.412,931.049,0
39,390072.656,72.656,9998.875,926.068,0
40,400073.104,73.104,10000.448,942.363,0
41,410074.201,74.201,10001.097,937.123,0
42,420077.020,77.020,10002.819,957.604,0
43,430077.710,77.710,10000.690,963.271,0
44,440076.418,76.418,9998.708,942.641,0
45,450074.700,74.700,9998.282,943.271,0
46,460074.760,74.760,10000.060,933.715,0
47,470073.635,73.635,9998.875,940.549,0
48,480077.380,77.380,10003.745,936.457,0
49,490076.958,76.958,9999.578,940.456,0
50,500077.481,77.481,10000.523,946.735,0
51,510076.855,76.855,9999.374,933.957,0
52,520075.489,75.489,9998.634,935.030,0
53,530076.660,76.660,10001.171,937.956,0
54,540077.535,77.535,10000.875,938.438,0
55,550077.817,77.817,10000.282,941.364,0
56,560076.840,76.840,9999.023,935.697,0
57,570075.715,75.715,9998.875,939.475,0
58,580077.163,77.163,10001.448,944.456,0
59,590076.909,76.909,9999.746,937.142,0
60,600075.931,75.931,9999.022,942.827,0
61,610076.565,76.565,10000.634,931.420,0
62,620074.625,74.625,9998.060,937.864,0
63,630074.518,74.518,9999.893,934.901,0
64,640077.189,77.189,10002.671,937.919,0
65,650074.471,74.471,9997.282,942.549,0
66,660077.976,77.976,10003.505,951.623,0
67,670073.425,73.425,9995.449,943.179,0
68,680076.688,76.688,10003.263,937.382,0
69,690070.063,70.063,9993.375,939.642,0
70,700077.197,77.197,10007.134,944.327,0
71,710075.331,75.331,9998.134,936.994,0
72,720074.039,74.039,9998.708,943.049,0
73,730077.913,77.913,10003.874,938.142,0
74,740077.603,77.603,9999.690,939.772,0
75,750077.255,77.255,9999.652,936.734,0
76,760077.537,77.537,10000.282,936.512,0
77,770076.912,76.912,9999.375,934.975,0
78,780076.861,76.861,9999.949,948.790,0
79,790077.124,77.124,10000.263,938.197,0
80,800074.147,74.147,9997.023,939.216,0
81,810073.929,73.929,9999.782,937.345,0
82,820075.137,75.137,10001.208,937.290,0
83,830077.901,77.901,10002.764,945.289,0
84,840077.164,77.164,9999.263,936.734,0
85,850076.743,76.743,9999.579,942.235,0
86,860077.025,77.025,10000.282,938.845,0
87,870077.492,77.492,10000.467,940.253,0
88,880078.200,78.200,10000.708,932.864,0
89,890076.908,76.908,9998.708,934.512,0
90,900077.264,77.264,10000.356,939.975,0
91,910074.954,74.954,9997.690,942.011,0
92,920077.384,77.384,10002.430,938.993,0
93,930077.833,77.833,10000.449,938.308,0
94,940076.393,76.393,9998.560,945.586,0
95,950074.860,74.860,9998.467,949.808,0
96,960077.605,77.605,10002.745,944.326,0
97,970077.721,77.721,10000.116,946.623,0
98,980077.410,77.410,9999.689,930.864,0
99,990077.822,77.822,10000.412,944.734,0
100,1000077.604,77.604,9999.782,951.401,0
101,1010074.275,74.275,9996.671,935.475,0
102,1020075.353,75.353,10001.078,935.067,0
103,1030073.635,73.635,9998.282,941.364,0
104,1040077.677,77.677,10004.042,937.920,0
105,1050077.959,77.959,10000.282,940.605,0
106,1060076.833,76.833,9998.874,938.734,0
107,1070077.486,77.486,10000.653,942.456,0
108,1080076.324,76.324,9998.838,942.475,0
109,1090077.587,77.587,10001.263,943.715,0
110,1100077.517,77.517,9999.930,948.123,0
111,1110083.540,83.540,10006.023,959.141,0
112,1120077.915,77.915,9994.375,949.123,0
113,1130074.012,74.012,9996.097,952.752,0
114,1140073.479,73.479,9999.467,938.030,0
115,1150077.020,77.020,10003.541,952.086,0
116,1160078.525,78.525,10001.505,951.586,0
117,1170077.436,77.436,9998.911,937.031,0
118,1180075.422,75.422,9997.986,943.382,0
119,1190077.889,77.889,10002.467,945.271,0
120,1200071.190,71.190,9993.301,954.049,0
121,1210074.750,74.750,10003.560,948.845,0
122,1220077.791,77.791,10003.041,943.623,0
123,1230076.629,76.629,9998.838,948.234,0
124,1240077.633,77.633,10001.004,949.994,0
125,1250077.452,77.452,9999.819,949.938,0
126,1260077.438,77.438,9999.986,951.289,0
127,1270077.276,77.276,9999.838,946.235,0
128,1280074.965,74.965,9997.689,945.067,0
129,1290077.433,77.433,10002.468,947.049,0
130,1300077.085,77.085,9999.652,949.549,0
131,1310085.719,85.719,10008.634,947.456,0
132,1320077.427,77.427,9991.708,951.141,0
133,1330076.654,76.654,9999.227,939.252,0
134,1340077.473,77.473,10000.819,957.383,0
135,1350077.329,77.329,9999.856,946.345,0
136,1360077.037,77.037,9999.708,928.049,0
137,1370077.152,77.152,10000.115,945.401,0
138,1380077.231,77.231,10000.079,940.920,0
139,1390077.735,77.735,10000.504,938.919,0
140,1400076.943,76.943,9999.208,945.604,0
141,1410096.318,96.318,10019.375,945.752,0
142,1420077.618,77.618,9981.300,944.419,0
143,1430076.937,76.937,9999.319,938.845,0
144,1440075.460,75.460,9998.523,947.827,0
145,1450075.372,75.372,9999.912,946.475,0
146,1460075.487,75.487,10000.115,944.623,0
147,1470075.325,75.325,9999.838,935.901,0
148,1480077.237,77.237,10001.912,940.382,0
149,1490077.371,77.371,10000.134,940.716,0
150,1500077.542,77.542,10000.171,944.216,0
151,1510101.676,101.676,10024.134,943.531,0
152,1520076.939,76.939,9975.263,938.234,0
153,1530076.758,76.758,9999.819,938.660,0
154,1540074.300,74.300,9997.542,937.975,0
155,1550076.674,76.674,10002.374,945.660,0
156,1560077.049,77.049,10000.375,939.938,0
157,1570076.628,76.628,9999.579,934.845,0
158,1580077.280,77.280,10000.652,943.826,0
159,1590076.636,76.636,9999.356,935.290,0
160,1600077.418,77.418,10000.782,943.438,0
161,1610084.237,84.237,10006.819,935.864,0
162,1620073.075,73.075,9988.838,935.382,0
163,1630076.524,76.524,10003.449,943.901,0
164,1640076.898,76.898,10000.374,944.419,0
165,1650068.551,68.551,9991.653,939.234,0
166,1660076.852,76.852,10008.301,938.086,0
167,1670076.467,76.467,9999.615,939.567,0
168,1680076.805,76.805,10000.338,945.512,0
169,1690076.013,76.013,9999.208,934.457,0
170,1700077.110,77.110,10001.097,936.901,0
171,1710097.095,97.095,10019.985,940.382,0
172,1720076.026,76.026,9978.931,934.771,0
173,1730076.956,76.956,10000.930,945.586,0
174,1740076.460,76.460,9999.504,939.678,0
175,1750077.298,77.298,10000.838,942.957,0
176,1760076.691,76.691,9999.393,937.586,0
177,1770077.306,77.306,10000.615,934.605,0
178,1780077.644,77.644,10000.338,936.863,0
179,1790076.611,76.611,9998.967,940.493,0
180,1800077.356,77.356,10000.745,942.160,0
181,1810075.361,75.361,9998.005,943.883,0
182,1820077.513,77.513,10002.152,941.567,0
183,1830077.499,77.499,9999.986,941.605,0
184,1840069.411,69.411,9991.912,958.679,0
185,1850076.119,76.119,10006.708,947.827,0
186,1860077.919,77.919,10001.800,947.123,0
187,1870076.683,76.683,9998.764,950.160,0
188,1880077.095,77.095,10000.412,950.494,0
189,1890076.858,76.858,9999.763,949.530,0
190,1900077.048,77.048,10000.190,951.549,0
