cycle,t_wake_us,wake_latency_us,period_us,bus_us,rc
0,67.716,67.716,0.000,973.105,0
1,10093.092,93.092,10025.376,945.234,0
2,20076.930,76.930,9983.838,934.679,0
3,30117.250,117.250,10040.320,928.753,0
4,40078.477,78.477,9961.227,956.326,0
5,55745.536,5745.536,15667.059,941.401,0
6,60065.506,65.506,4319.970,927.735,0
7,70073.159,73.159,10007.653,943.012,0
8,80077.979,77.979,10004.820,947.160,0
9,90092.817,92.817,10014.838,929.752,0
10,100077.155,77.155,9984.338,930.808,0
11,110072.197,72.197,9995.042,925.938,0
12,120072.480,72.480,10000.283,933.938,0
13,130089.615,89.615,10017.135,935.087,0
14,140074.842,74.842,9985.227,926.846,0
15,150072.754,72.754,9997.912,928.864,0
16,160070.908,70.908,9998.154,929.920,0
17,170063.690,63.690,9992.782,921.920,0
18,180074.881,74.881,10011.191,934.216,0
19,190122.200,122.200,10047.319,978.012,0
20,200074.613,74.613,9952.413,931.031,0
21,210072.507,72.507,9997.894,943.049,0
22,220092.067,92.067,10019.560,970.734,0
23,230081.868,81.868,9989.801,961.011,0
24,240061.651,61.651,9979.783,925.846,0
25,250073.027,73.027,10011.376,920.993,0
26,260088.513,88.513,10015.486,985.327,0
27,270179.499,179.499,10090.986,991.494,0
28,280066.542,66.542,9887.043,937.383,0
29,290078.843,78.843,10012.301,940.141,0
30,300090.440,90.440,10011.597,983.919,0
31,310129.834,129.834,10039.394,970.771,0
32,320078.302,78.302,9948.468,929.771,0
33,330081.196,81.196,10002.894,925.587,0
34,340072.887,72.887,9991.691,3753.659,0
35,350131.336,131.336,10058.449,980.901,0
36,360076.008,76.008,9944.672,939.660,0
37,370075.550,75.550,9999.542,919.290,0
38,383807.677,3807.677,13732.127,942.123,0
39,390149.930,149.930,6342.253,980.104,0
40,400080.120,80.120,9930.190,941.809,0
41,410086.051,86.051,10005.931,933.253,0
42,420079.204,79.204,9993.153,939.771,0
43,430160.616,160.616,10081.412,979.679,0
44,440080.603,80.603,9919.987,933.660,0
45,450085.756,85.756,10005.153,925.975,0
46,460079.798,79.798,9994.042,947.901,0
47,470149.636,149.636,10069.838,5636.794,0
48,480083.605,83.605,9933.969,935.216,0
49,490084.110,84.110,10000.505,921.716,0
50,500080.763,80.763,9996.653,943.753,0
51,510146.323,146.323,10065.560,981.623,0
52,520080.051,80.051,9933.728,931.938,0
53,530076.630,76.630,9996.579,922.771,0
54,540072.598,72.598,9995.968,933.957,0
55,550124.602,124.602,10052.004,966.308,0
56,560076.997,76.997,9952.395,939.790,0
57,570076.779,76.779,9999.782,930.290,0
58,580079.007,79.007,10002.228,934.586,0
59,590123.956,123.956,10044.949,989.382,0
60,600074.906,74.906,9950.950,937.530,0
61,610075.929,75.929,10001.023,926.549,0
62,620081.545,81.545,10005.616,939.512,0
63,630117.920,117.920,10036.375,958.197,0
64,640074.648,74.648,9956.728,929.383,0
65,650076.931,76.931,10002.283,938.364,0
66,660078.250,78.250,10001.319,944.938,0
67,670251.199,251.199,10172.949,983.974,0
68,683773.976,3773.976,13522.777,983.104,0
69,690073.451,73.451,6299.475,928.401,0
70,700088.974,88.974,10015.523,950.568,0
71,710145.571,145.571,10056.597,987.567,0
72,720081.410,81.410,9935.839,932.660,0
73,730072.508,72.508,9991.098,929.994,0
74,740074.365,74.365,10001.857,944.142,0
75,755776.923,5776.923,15702.558,934.568,0
76,760065.727,65.727,4288.804,925.345,0
77,770102.342,102.342,10036.615,930.549,0
78,780081.273,81.273,9978.931,945.197,0
79,790085.186,85.186,10003.913,936.012,0
80,800087.932,87.932,10002.746,999.956,0
81,810165.658,165.658,10077.726,1003.882,0
82,820084.497,84.497,9918.839,936.105,0
83,830077.873,77.873,9993.376,937.512,0
84,840097.748,97.748,10019.875,980.419,0
85,850144.660,144.660,10046.912,1013.622,0
86,860067.740,67.740,9923.080,937.364,0
87,870080.522,80.522,10012.782,942.215,0
88,880103.786,103.786,10023.264,998.030,0
89,890176.976,176.976,10073.190,1003.308,0
90,900075.167,75.167,9898.191,935.567,0
91,910074.357,74.357,9999.190,938.919,0
92,920071.196,71.196,9996.839,3774.752,0
93,930126.589,126.589,10055.393,976.531,0
94,940074.168,74.168,9947.579,940.771,0
95,950074.914,74.914,10000.746,940.624,0
96,960077.993,77.993,10003.079,946.493,0
97,970129.998,129.998,10052.005,1000.919,0
98,980076.744,76.744,9946.746,924.161,0
99,990081.786,81.786,10005.042,946.512,0
100,1000084.384,84.384,10002.598,967.790,0
101,1010132.333,132.333,10047.949,5660.757,0
102,1020067.560,67.560,9935.227,939.956,0
103,1030082.936,82.936,10015.376,925.827,0
104,1040091.885,91.885,10008.949,979.512,0
105,1050135.742,135.742,10043.857,974.419,0
106,1060081.321,81.321,9945.579,956.994,0
107,1070083.363,83.363,10002.042,958.382,0
108,1080084.498,84.498,10001.135,978.993,0
109,1090128.910,128.910,10044.412,5656.257,0
110,1100079.434,79.434,9950.524,930.697,0
111,1110076.846,76.846,9997.412,929.420,0
112,1120083.684,83.684,10006.838,970.475,0
113,1130135.541,135.541,10051.857,988.567,0
114,1140082.843,82.843,9947.302,943.846,0
115,1150078.922,78.922,9996.079,938.993,0
116,1160078.742,78.742,9999.820,954.271,0
117,1170133.876,133.876,10055.134,977.956,0
118,1180072.326,72.326,9938.450,935.790,0
119,1190077.608,77.608,10005.282,944.604,0
120,1200069.521,69.521,9991.913,960.678,0
121,1210102.341,102.341,10032.820,974.234,0
122,1220062.716,62.716,9960.375,926.531,0
123,1230069.499,69.499,10006.783,934.215,0
124,1240073.578,73.578,10004.079,951.530,0
125,1250120.953,120.953,10047.375,977.864,0
126,1260074.662,74.662,9953.709,931.364,0
127,1270076.852,76.852,10002.190,930.697,0
128,1280068.783,68.783,9991.931,946.697,0
129,1295782.212,5782.212,15713.429,953.123,0
130,1300076.034,76.034,4293.822,936.493,0
131,1310076.687,76.687,10000.653,928.531,0
132,1320092.970,92.970,10016.283,988.419,0
133,1330138.826,138.826,10045.856,976.863,0
134,1340077.165,77.165,9938.339,936.031,0
135,1350079.318,79.318,10002.153,930.550,0
136,1360080.008,80.008,10000.690,939.697,0
137,1370082.513,82.513,10002.505,928.753,0
138,1380089.592,89.592,10007.079,956.919,0
139,1390132.523,132.523,10042.931,5655.868,0
140,1400076.565,76.565,9944.042,926.197,0
141,1410077.885,77.885,10001.320,932.882,0
142,1420099.038,99.038,10021.153,979.586,0
143,1430141.636,141.636,10042.598,977.494,0
144,1440077.715,77.715,9936.079,931.938,0
145,1450079.665,79.665,10001.950,936.235,0
146,1460082.725,82.725,10003.060,967.197,0
147,1470143.656,143.656,10060.931,992.234,0
148,1480072.606,72.606,9928.950,930.271,0
149,1490081.759,81.759,10009.153,924.993,0
150,1500088.986,88.986,10007.227,964.345,0
151,1510153.676,153.676,10064.690,983.974,0
152,1527797.609,7797.609,17643.933,3989.177,0
153,1543794.999,3794.999,15997.390,953.401,0
154,1550170.066,170.066,6375.067,981.808,0
155,1560078.516,78.516,9908.450,927.327,0
156,1570084.151,84.151,10005.635,928.660,0
157,1580081.711,81.711,9997.560,961.382,0
158,1590127.438,127.438,10045.727,970.456,0
159,1600078.925,78.925,9951.487,930.975,0
160,1610092.208,92.208,10013.283,938.346,0
161,1620094.509,94.509,10002.301,995.900,0
162,1630137.477,137.477,10042.968,1009.141,0
163,1640076.463,76.463,9938.986,929.975,0
164,1650079.043,79.043,10002.580,932.290,0
165,1660087.362,87.362,10008.319,945.604,0
166,1670138.997,138.997,10051.635,975.753,0
167,1680078.724,78.724,9939.727,937.327,0
168,1690081.303,81.303,10002.579,934.050,0
169,1700084.901,84.901,10003.598,948.309,0
170,1710127.628,127.628,10042.727,971.864,0
171,1720074.355,74.355,9946.727,947.289,0
172,1730081.249,81.249,10006.894,939.142,0
173,1740079.939,79.939,9998.690,951.679,0
174,1750143.444,143.444,10063.505,993.123,0
175,1760074.024,74.024,9930.580,954.512,0
176,1775789.896,5789.896,15715.872,984.882,0
177,1780073.645,73.645,4283.749,952.753,0
178,1790130.594,130.594,10056.949,977.882,0
179,1800083.432,83.432,9952.838,947.271,0
180,1810081.493,81.493,9998.061,929.012,0
181,1820091.813,91.813,10010.320,959.679,0
182,1830115.521,115.521,10023.708,975.308,0
183,1840078.119,78.119,9962.598,959.697,0
184,1850077.217,77.217,9999.098,940.198,0
185,1860087.666,87.666,10010.449,966.215,0
186,1870134.763,134.763,10047.097,994.420,0
187,1880080.510,80.510,9945.747,946.586,0
188,1890080.052,80.052,9999.542,943.938,0
189,1900082.464,82.464,10002.412,969.160,0
190,1915754.652,5754.652,15672.188,1045.419,0
191,1920076.974,76.974,4322.322,931.864,0
192,1930077.720,77.720,10000.746,948.808,0
193,1940077.854,77.854,10000.134,927.623,0
194,1950104.711,104.711,10026.857,950.383,0
195,1960079.605,79.605,9974.894,956.031,0
196,1970081.518,81.518,10001.913,951.326,0
197,1980072.578,72.578,9991.060,933.494,0
198,1990080.213,80.213,10007.635,957.123,0
199,2000088.477,88.477,10008.264,957.734,0
200,2010138.167,138.167,10049.690,1008.271,0
201,2020075.932,75.932,9937.765,938.845,0
202,2030084.770,84.770,10008.838,928.883,0
203,2040077.830,77.830,9993.060,943.567,0
204,2051800.861,1800.861,11723.031,1014.068,0
205,2063771.185,3771.185,11970.324,1070.438,0
206,2070087.308,87.308,6316.123,927.827,0
207,2080084.480,84.480,9997.172,967.882,0
208,2090110.040,110.040,10025.560,973.123,0
209,2100074.860,74.860,9964.820,932.383,0
210,2110074.384,74.384,9999.524,917.012,0
211,2120079.000,79.000,10004.616,964.753,0
212,2130123.320,123.320,10044.320,977.252,0
213,2140074.214,74.214,9950.894,933.160,0
214,2150071.811,71.811,9997.597,927.568,0
215,2160087.798,87.798,10015.987,984.252,0
216,2170069.044,69.044,9981.246,928.030,0
217,2180067.771,67.771,9998.727,940.586,0
218,2191837.449,1837.449,11769.678,1002.679,0
219,2200076.799,76.799,8239.350,931.863,0
220,2210081.304,81.304,10004.505,926.475,0
221,2220080.013,80.013,9998.709,971.604,0
222,2230142.610,142.610,10062.597,987.623,0
223,2240081.819,81.819,9939.209,936.531,0
224,2250074.436,74.436,9992.617,935.698,0
225,2263783.767,3783.767,13709.331,946.141,0
226,2270140.704,140.704,6356.937,968.364,0
227,2280081.043,81.043,9940.339,940.272,0
228,2290083.011,83.011,10001.968,934.938,0
229,2300091.423,91.423,10008.412,981.863,0
230,2310153.817,153.817,10062.394,975.919,0
231,2320081.322,81.322,9927.505,939.012,0
232,2330084.568,84.568,10003.246,934.586,0
233,2340086.036,86.036,10001.468,942.216,0
234,2355745.613,5745.613,15659.577,996.252,0
235,2360072.991,72.991,4327.378,933.104,0
236,2370072.977,72.977,9999.986,923.587,0
237,2380092.667,92.667,10019.690,1004.771,0
