cycle,t_wake_us,wake_latency_us,period_us,bus_us,rc
0,10.844,10.844,0.000,955.809,0
1,10007.219,7.219,9996.375,941.846,0
2,20007.038,7.038,9999.819,911.234,0
3,30007.173,7.173,10000.135,917.197,0
4,40007.233,7.233,10000.060,920.660,0
5,50007.034,7.034,9999.801,924.956,0
6,60006.835,6.835,9999.801,921.679,0
7,70006.988,6.988,10000.153,921.438,0
8,80006.493,6.493,9999.505,925.845,0
9,90006.146,6.146,9999.653,923.179,0
10,100007.299,7.299,10001.153,925.790,0
11,110005.100,5.100,9997.801,928.123,0
12,120006.901,6.901,10001.801,923.587,0
13,130006.980,6.980,10000.079,935.660,0
14,140006.910,6.910,9999.930,935.789,0
15,150008.563,8.563,10001.653,935.364,0
16,160007.013,7.013,9998.450,940.123,0
17,170006.832,6.832,9999.819,936.975,0
18,180007.263,7.263,10000.431,940.771,0
19,190007.045,7.045,9999.782,942.568,0
20,200006.939,6.939,9999.894,940.882,0
21,210006.925,6.925,9999.986,940.641,0
22,220006.930,6.930,10000.005,945.160,0
23,230006.842,6.842,9999.912,947.697,0
24,240008.162,8.162,10001.320,950.438,0
25,250006.926,6.926,9998.764,950.345,0
26,260006.820,6.820,9999.894,948.049,0
27,270006.806,6.806,9999.986,953.642,0
28,280006.866,6.866,10000.060,951.789,0
29,290006.852,6.852,9999.986,960.864,0
30,300006.894,6.894,10000.042,959.271,0
31,310006.843,6.843,9999.949,960.141,0
32,320007.385,7.385,10000.542,964.197,0
33,330007.001,7.001,9999.616,956.586,0
34,340007.543,7.543,10000.542,959.309,0
35,350006.825,6.825,9999.282,954.957,0
36,360006.867,6.867,10000.042,959.327,0
37,370006.909,6.909,10000.042,959.734,0
38,380006.951,6.951,10000.042,889.642,0
39,390006.696,6.696,9999.745,891.290,0
40,400005.220,5.220,9998.524,891.623,0
41,410007.002,7.002,10001.782,885.235,0
42,420007.007,7.007,10000.005,886.568,0
43,430006.919,6.919,9999.912,887.290,0
44,440007.016,7.016,10000.097,889.494,0
45,450006.818,6.818,9999.802,891.734,0
46,460006.767,6.767,9999.949,891.771,0
47,470006.790,6.790,10000.023,893.308,0
48,480006.980,6.980,10000.190,894.160,0
49,490006.855,6.855,9999.875,896.808,0
50,500006.749,6.749,9999.894,881.550,0
51,510006.920,6.920,10000.171,899.198,0
52,520006.777,6.777,9999.857,884.920,0
53,530006.911,6.911,10000.134,885.013,0
54,540006.916,6.916,10000.005,887.531,0
55,550006.902,6.902,9999.986,905.790,0
56,560006.777,6.777,9999.875,886.365,0
57,570006.782,6.782,10000.005,888.827,0
58,580006.768,6.768,9999.986,888.568,0
59,590006.755,6.755,9999.987,889.827,0
60,600005.908,5.908,9999.153,893.790,0
61,610006.746,6.746,10000.838,893.031,0
62,620006.899,6.899,10000.153,895.846,0
63,630007.237,7.237,10000.338,896.771,0
64,640006.834,6.834,9999.597,898.920,0
65,650006.876,6.876,10000.042,899.123,0
66,660006.936,6.936,10000.060,885.864,0
67,670006.756,6.756,9999.820,887.661,0
68,680006.964,6.964,10000.208,888.179,0
69,690006.450,6.450,9999.486,885.865,0
70,700006.752,6.752,10000.302,906.790,0
71,710006.904,6.904,10000.152,890.531,0
72,720006.650,6.650,9999.746,883.994,0
73,730006.840,6.840,10000.190,891.216,0
74,740006.789,6.789,9999.949,887.401,0
75,750006.627,6.627,9999.838,896.586,0
76,760007.188,7.188,10000.561,893.401,0
77,770006.822,6.822,9999.634,891.031,0
78,780006.864,6.864,10000.042,902.290,0
79,790006.757,6.757,9999.893,892.605,0
80,800012.299,12.299,10005.542,894.234,0
81,810005.322,5.322,9993.023,904.604,0
82,820006.531,6.531,10001.209,923.290,0
83,830006.517,6.517,9999.986,883.438,0
84,840006.892,6.892,10000.375,888.420,0
85,850006.860,6.860,9999.968,882.049,0
86,860006.809,6.809,9999.949,883.550,0
87,870006.796,6.796,9999.987,884.624,0
88,880006.874,6.874,10000.078,883.290,0
89,890006.749,6.749,9999.875,884.697,0
90,900005.088,5.088,9998.339,891.197,0
91,910007.111,7.111,10002.023,890.216,0
92,920006.856,6.856,9999.745,891.698,0
93,930006.713,6.713,9999.857,893.067,0
94,940006.533,6.533,9999.820,886.105,0
95,950006.704,6.704,10000.171,884.623,0
96,960006.653,6.653,9999.949,889.401,0
97,970006.732,6.732,10000.079,883.160,0
98,980006.570,6.570,9999.838,889.383,0
99,990006.668,6.668,10000.098,881.308,0
100,1000006.895,6.895,10000.227,885.679,0
101,1010006.696,6.696,9999.801,894.142,0
102,1020006.737,6.737,10000.041,889.068,0
103,1030006.631,6.631,9999.894,889.938,0
104,1040006.562,6.562,9999.931,891.457,0
105,1050006.492,6.492,9999.930,893.031,0
106,1060006.627,6.627,10000.135,885.549,0
107,1070010.595,10.595,10003.968,892.123,0
108,1080006.822,6.822,9996.227,889.012,0
109,1090006.937,6.937,10000.115,889.568,0
110,1100007.109,7.109,10000.172,881.013,0
111,1110006.540,6.540,9999.431,894.771,0
112,1120006.841,6.841,10000.301,894.697,0
113,1130006.845,6.845,10000.004,895.179,0
114,1140006.461,6.461,9999.616,895.457,0
115,1150006.929,6.929,10000.468,889.623,0
116,1160006.804,6.804,9999.875,880.976,0
117,1170006.864,6.864,10000.060,889.420,0
118,1180007.258,7.258,10000.394,884.642,0
119,1190006.874,6.874,9999.616,886.457,0
120,1200005.138,5.138,9998.264,889.827,0
121,1210005.254,5.254,10000.116,890.698,0
122,1220006.611,6.611,10001.357,890.864,0
123,1230006.967,6.967,10000.356,891.790,0
124,1240007.046,7.046,10000.079,884.642,0
125,1250006.810,6.810,9999.764,893.753,0
126,1260006.889,6.889,10000.079,887.587,0
127,1270006.894,6.894,10000.005,888.882,0
128,1280006.806,6.806,9999.912,890.308,0
129,1290006.829,6.829,10000.023,902.327,0
130,1300006.908,6.908,10000.079,890.291,0
131,1310006.820,6.820,9999.912,894.623,0
132,1320006.843,6.843,10000.023,887.660,0
133,1330006.793,6.793,9999.950,887.679,0
134,1340006.890,6.890,10000.097,889.716,0
135,1350006.710,6.710,9999.820,891.661,0
136,1360006.788,6.788,10000.078,893.142,0
137,1370006.830,6.830,10000.042,878.642,0
138,1380006.742,6.742,9999.912,879.624,0
139,1390006.803,6.803,10000.061,894.198,0
140,1400005.770,5.770,9998.967,899.865,0
141,1410005.257,5.257,9999.487,898.364,0
142,1420006.798,6.798,10001.541,882.587,0
143,1430006.766,6.766,9999.968,899.790,0
144,1440006.901,6.901,10000.135,886.623,0
145,1450006.924,6.924,10000.023,885.605,0
146,1460006.466,6.466,9999.542,888.253,0
147,1470006.896,6.896,10000.430,892.216,0
148,1480006.901,6.901,10000.005,906.864,0
149,1490006.943,6.943,10000.042,890.086,0
150,1500006.763,6.763,9999.820,893.549,0
151,1510005.212,5.212,9998.449,883.234,0
152,1520006.605,6.605,10001.393,883.142,0
153,1530006.740,6.740,10000.135,897.531,0
154,1540006.893,6.893,10000.153,886.253,0
155,1550006.972,6.972,10000.079,882.790,0
156,1560007.050,7.050,10000.078,888.087,0
157,1570006.907,6.907,9999.857,890.864,0
158,1580006.912,6.912,10000.005,880.698,0
159,1590006.750,6.750,9999.838,884.068,0
160,1600006.810,6.810,10000.060,891.290,0
161,1610006.852,6.852,10000.042,885.975,0
162,1620006.320,6.320,9999.468,889.753,0
163,1630005.065,5.065,9998.745,890.568,0
164,1640006.126,6.126,10001.061,888.993,0
165,1650004.982,4.982,9998.856,892.901,0
166,1660005.839,5.839,10000.857,893.698,0
167,1670006.881,6.881,10001.042,893.642,0
168,1680006.922,6.922,10000.041,898.124,0
169,1690006.816,6.816,9999.894,896.586,0
170,1700006.895,6.895,10000.079,893.438,0
171,1710006.363,6.363,9999.468,900.050,0
172,1720007.145,7.145,10000.782,895.808,0
173,1730006.891,6.891,9999.746,908.253,0
174,1740006.803,6.803,9999.912,881.846,0
175,1750006.826,6.826,10000.023,886.383,0
176,1760006.757,6.757,9999.931,902.346,0
177,1770006.928,6.928,10000.171,884.253,0
178,1780006.285,6.285,9999.357,891.364,0
179,1790006.771,6.771,10000.486,890.401,0
180,1800006.720,6.720,9999.949,890.605,0
181,1810009.133,9.133,10002.413,891.568,0
182,1820007.063,7.063,9997.930,891.290,0
183,1830007.012,7.012,9999.949,884.438,0
184,1840006.980,6.980,9999.968,888.234,0
185,1850006.874,6.874,9999.894,879.438,0
186,1860006.934,6.934,10000.060,881.679,0
187,1870006.680,6.680,9999.746,885.994,0
188,1880006.888,6.888,10000.208,892.494,0
189,1890006.893,6.893,10000.005,883.920,0
190,1900005.213,5.213,9998.320,888.530,0
191,1910005.347,5.347,10000.134,883.013,0
192,1920008.389,8.389,10003.042,881.605,0
193,1930006.616,6.616,9998.227,881.679,0
194,1940006.843,6.843,10000.227,886.013,0
195,1950006.773,6.773,9999.930,885.531,0
196,1960006.834,6.834,10000.061,888.808,0
197,1970006.876,6.876,10000.042,890.031,0
198,1980006.751,6.751,9999.875,882.624,0
199,1990006.681,6.681,9999.930,881.031,0
200,2000006.742,6.742,10000.061,885.049,0
201,2010006.728,6.728,9999.986,885.253,0
202,2020006.788,6.788,10000.060,888.531,0
203,2030006.849,6.849,10000.061,889.698,0
204,2040006.687,6.687,9999.838,890.661,0
