cycle,t_wake_us,wake_latency_us,period_us,bus_us,rc
0,27.292,27.292,0.000,958.308,0
1,10013.316,13.316,9986.024,949.678,0
2,20030.932,30.932,10017.616,933.271,0
3,30040.585,40.585,10009.653,938.401,0
4,40024.812,24.812,9984.227,944.271,0
5,50026.243,26.243,10001.431,942.308,0
6,60019.452,19.452,9993.209,950.846,0
7,70064.624,64.624,10045.172,961.327,0
8,80051.759,51.759,9987.135,941.956,0
9,90020.283,20.283,9968.524,955.920,0
10,100018.214,18.214,9997.931,960.216,0
11,110089.144,89.144,10070.930,978.067,0
12,120039.465,39.465,9950.321,951.771,0
13,130032.840,32.840,9993.375,955.549,0
14,140056.104,56.104,10023.264,943.105,0
15,150032.591,32.591,9976.487,952.068,0
16,160083.966,83.966,10051.375,961.271,0
17,170051.675,51.675,9967.709,935.067,0
18,180041.384,41.384,9989.709,947.067,0
19,190049.371,49.371,10007.987,939.456,0
20,200048.580,48.580,9999.209,943.234,0
21,210082.788,82.788,10034.208,961.975,0
22,220033.997,33.997,9951.209,964.901,0
23,230046.965,46.965,10012.968,945.550,0
24,240021.915,21.915,9974.950,975.438,0
25,250075.179,75.179,10053.264,963.679,0
26,260039.185,39.185,9964.006,965.808,0
27,270050.875,50.875,10011.690,948.919,0
28,280044.732,44.732,9993.857,955.271,0
29,290082.422,82.422,10037.690,962.994,0
30,300025.705,25.705,9943.283,978.697,0
31,310030.414,30.414,10004.709,977.067,0
32,320034.604,34.604,10004.190,970.234,0
33,330055.480,55.480,10020.876,958.864,0
34,340041.022,41.022,9985.542,972.067,0
35,350083.768,83.768,10042.746,964.141,0
36,360068.662,68.662,9984.894,978.549,0
37,370030.704,30.704,9962.042,981.808,0
38,380079.190,79.190,10048.486,968.438,0
39,390025.640,25.640,9946.450,997.160,0
40,400039.608,39.608,10013.968,979.160,0
41,410049.947,49.947,10010.339,969.123,0
42,420041.785,41.785,9991.838,984.437,0
43,430085.142,85.142,10043.357,960.919,0
44,440038.462,38.462,9953.320,987.641,0
45,450032.301,32.301,9993.839,996.401,0
46,460082.972,82.972,10050.671,958.956,0
47,470044.829,44.829,9961.857,983.252,0
48,480029.538,29.538,9984.709,1006.012,0
49,490053.451,53.451,10023.913,984.401,0
50,500042.937,42.937,9989.486,989.548,0
51,510083.794,83.794,10040.857,958.475,0
52,520084.318,84.318,10000.524,982.901,0
53,530038.064,38.064,9953.746,996.696,0
54,540046.180,46.180,10008.116,990.530,0
55,550032.852,32.852,9986.672,934.790,0
56,560032.228,32.228,9999.376,936.012,0
57,570075.584,75.584,10043.356,969.808,0
58,580026.275,26.275,9950.691,919.808,0
59,590042.428,42.428,10016.153,920.735,0
60,600079.674,79.674,10037.246,979.975,0
61,610035.420,35.420,9955.746,924.734,0
62,620046.147,46.147,10010.727,1006.808,0
63,630044.467,44.467,9998.320,924.975,0
64,640076.935,76.935,10032.468,988.104,0
65,650030.644,30.644,9953.709,913.864,0
66,660023.353,23.353,9992.709,928.012,0
67,670043.951,43.951,10020.598,938.994,0
68,680037.511,37.511,9993.560,939.586,0
69,690030.091,30.091,9992.580,942.549,0
70,700032.614,32.614,10002.523,934.271,0
71,710095.063,95.063,10062.449,964.216,0
72,720106.643,106.643,10011.580,984.104,0
73,730070.815,70.815,9964.172,994.123,0
74,740030.431,30.431,9959.616,926.345,0
75,750083.695,83.695,10053.264,980.771,0
76,760021.330,21.330,9937.635,926.290,0
77,770035.039,35.039,10013.709,928.975,0
78,780081.100,81.100,10046.061,995.604,0
79,790047.290,47.290,9966.190,923.178,0
80,800037.295,37.295,9990.005,929.123,0
81,810022.708,22.708,9985.413,936.604,0
82,820029.583,29.583,10006.875,927.068,0
83,830080.644,80.644,10051.061,993.622,0
84,840078.760,78.760,9998.116,1009.252,0
85,850029.265,29.265,9950.505,929.734,0
86,860077.493,77.493,10048.228,1017.382,0
87,870034.776,34.776,9957.283,930.031,0
88,880079.447,79.447,10044.671,1019.456,0
89,890082.323,82.323,10002.876,1003.660,0
90,900033.550,33.550,9951.227,931.790,0
91,910091.463,91.463,10057.913,992.882,0
92,920029.376,29.376,9937.913,936.771,0
93,930027.325,27.325,9997.949,945.346,0
94,940026.256,26.256,9998.931,929.012,0
95,950088.168,88.168,10061.912,1005.048,0
96,960044.303,44.303,9956.135,941.549,0
97,970045.994,45.994,10001.691,943.475,0
98,980045.925,45.925,9999.931,932.920,0
99,990039.948,39.948,9994.023,948.604,0
100,1000037.343,37.343,9997.395,939.901,0
101,1010078.051,78.051,10040.708,1021.622,0
102,1020039.797,39.797,9961.746,937.382,0
103,1030045.154,45.154,10005.357,935.753,0
104,1040027.493,27.493,9982.339,953.401,0
105,1050067.886,67.886,10040.393,957.437,0
106,1060031.447,31.447,9963.561,944.845,0
107,1070081.434,81.434,10049.987,947.364,0
108,1080038.754,38.754,9957.320,933.067,0
109,1090040.296,40.296,10001.542,929.808,0
110,1100031.412,31.412,9991.116,944.419,0
111,1110019.195,19.195,9987.783,934.327,0
112,1120033.719,33.719,10014.524,949.752,0
113,1130037.094,37.094,10003.375,947.326,0
114,1140043.025,43.025,10005.931,936.586,0
115,1150084.123,84.123,10041.098,959.085,0
116,1160025.647,25.647,9941.524,930.160,0
117,1170091.022,91.022,10065.375,1031.104,0
118,1180081.398,81.398,9990.376,958.216,0
119,1190050.051,50.051,9968.653,940.419,0
120,1200037.390,37.390,9987.339,948.179,0
121,1210036.617,36.617,9999.227,923.715,0
122,1220069.196,69.196,10032.579,956.863,0
123,1230027.220,27.220,9958.024,937.531,0
124,1240039.169,39.169,10011.949,951.438,0
125,1250027.749,27.749,9988.580,944.067,0
126,1260033.643,33.643,10005.894,942.235,0
127,1270077.518,77.518,10043.875,957.253,0
128,1280046.801,46.801,9969.283,963.031,0
129,1290030.677,30.677,9983.876,944.327,0
130,1300067.959,67.959,10037.282,1137.084,0
131,1310037.594,37.594,9969.635,942.530,0
132,1320077.840,77.840,10040.246,981.049,0
133,1330075.697,75.697,9997.857,955.382,0
134,1340026.980,26.980,9951.283,954.067,0
135,1350027.652,27.652,10000.672,983.678,0
